time,year,month,day,latitude,longitude,depth,mag,strong
2015-07-30 02:39:05.400000+00:00,2015,7,30,31.3971,35.4781,13,4.2,1
2018-07-04 01:50:08.350000+00:00,2018,7,4,32.786,35.4363,10,4.0,1
2018-07-04 19:45:40.040000+00:00,2018,7,4,32.7972,35.4438,10,4.7,1
2018-07-22 06:41:25.380000+00:00,2018,7,22,32.7988,35.6371,10,2.9,0
2018-07-27 08:51:19.030000+00:00,2018,7,27,32.8353,35.5216,10,2.9,0
2020-12-15 02:30:09.935000+00:00,2020,12,15,29.5749,34.9527,10,3.9,0
2021-06-15 23:08:52.705000+00:00,2021,6,15,30.2013,35.0504,10,4.1,1
2022-01-22 21:36:54.822000+00:00,2022,1,22,32.6069,35.494,10,4.1,1
2022-01-23 10:28:07.151000+00:00,2022,1,23,32.6567,35.4637,10,3.7,0
2023-02-07 21:14:28.432000+00:00,2023,2,7,32.0866,35.2415,10,4.1,1
